model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
CNN,3,PT3,cell_fold,roc_auc,,,,
CNN,3,PT3,cell_fold,accuracy,0.9782650509713406,,,
CNN,3,PT3,cell_fold,precision,0.0,,,
CNN,3,PT3,cell_fold,recall,0.0,,,
CNN,3,PT3,cell_fold,specificity,0.9782650509713406,,,
CNN,3,PT3,cell_fold,f1,0.0,,,
CNN,3,PT3,cell_fold,brier,0.0198006245989502,,,
CNN,3,PT3,cell_fold,log_loss,0.0812433913249511,,,
CNN,3,PT3,patient_fold,roc_auc,,1.0,,
CNN,3,PT3,patient_fold,accuracy,1.0,1.0,,
CNN,3,PT3,patient_fold,precision,0.0,1.0,,
CNN,3,PT3,patient_fold,recall,0.0,1.0,,
CNN,3,PT3,patient_fold,specificity,1.0,1.0,,
CNN,3,PT3,patient_fold,f1,0.0,1.0,,
CNN,3,PT3,patient_fold,brier,0.0041250319062951,1.0,,
CNN,3,PT3,patient_fold,log_loss,0.0663817241616142,1.0,,
BiLSTM,3,PT3,cell_fold,roc_auc,,,,
BiLSTM,3,PT3,cell_fold,accuracy,0.963069821119446,,,
BiLSTM,3,PT3,cell_fold,precision,0.0,,,
BiLSTM,3,PT3,cell_fold,recall,0.0,,,
BiLSTM,3,PT3,cell_fold,specificity,0.963069821119446,,,
BiLSTM,3,PT3,cell_fold,f1,0.0,,,
BiLSTM,3,PT3,cell_fold,brier,0.0255939053469564,,,
BiLSTM,3,PT3,cell_fold,log_loss,0.0829290210249758,,,
BiLSTM,3,PT3,patient_fold,roc_auc,,1.0,,
BiLSTM,3,PT3,patient_fold,accuracy,1.0,1.0,,
BiLSTM,3,PT3,patient_fold,precision,0.0,1.0,,
BiLSTM,3,PT3,patient_fold,recall,0.0,1.0,,
BiLSTM,3,PT3,patient_fold,specificity,1.0,1.0,,
BiLSTM,3,PT3,patient_fold,f1,0.0,1.0,,
BiLSTM,3,PT3,patient_fold,brier,0.0026212724050225,1.0,,
BiLSTM,3,PT3,patient_fold,log_loss,0.0525555257234461,1.0,,
Transformer,3,PT3,cell_fold,roc_auc,,,,
Transformer,3,PT3,cell_fold,accuracy,0.9481631082900558,,,
Transformer,3,PT3,cell_fold,precision,0.0,,,
Transformer,3,PT3,cell_fold,recall,0.0,,,
Transformer,3,PT3,cell_fold,specificity,0.9481631082900558,,,
Transformer,3,PT3,cell_fold,f1,0.0,,,
Transformer,3,PT3,cell_fold,brier,0.0447235288773526,,,
Transformer,3,PT3,cell_fold,log_loss,0.2157051742813165,,,
Transformer,3,PT3,patient_fold,roc_auc,,1.0,,
Transformer,3,PT3,patient_fold,accuracy,1.0,1.0,,
Transformer,3,PT3,patient_fold,precision,0.0,1.0,,
Transformer,3,PT3,patient_fold,recall,0.0,1.0,,
Transformer,3,PT3,patient_fold,specificity,1.0,1.0,,
Transformer,3,PT3,patient_fold,f1,0.0,1.0,,
Transformer,3,PT3,patient_fold,brier,0.0031743179246677,1.0,,
Transformer,3,PT3,patient_fold,log_loss,0.057990497601732,1.0,,
XGBoost,3,PT3,cell_fold,roc_auc,,,,
XGBoost,3,PT3,cell_fold,accuracy,0.0,,,
XGBoost,3,PT3,cell_fold,precision,0.0,,,
XGBoost,3,PT3,cell_fold,recall,0.0,,,
XGBoost,3,PT3,cell_fold,specificity,0.0,,,
XGBoost,3,PT3,cell_fold,f1,0.0,,,
XGBoost,3,PT3,cell_fold,brier,0.4265436656009254,,,
XGBoost,3,PT3,cell_fold,log_loss,1.0588858497286555,,,
XGBoost,3,PT3,patient_fold,roc_auc,,1.0,,
XGBoost,3,PT3,patient_fold,accuracy,0.0,1.0,,
XGBoost,3,PT3,patient_fold,precision,0.0,1.0,,
XGBoost,3,PT3,patient_fold,recall,0.0,1.0,,
XGBoost,3,PT3,patient_fold,specificity,0.0,1.0,,
XGBoost,3,PT3,patient_fold,f1,0.0,1.0,,
XGBoost,3,PT3,patient_fold,brier,0.4264662911259762,1.0,,
XGBoost,3,PT3,patient_fold,log_loss,1.0585569224659557,1.0,,
MLP,4,PT4,cell_fold,roc_auc,,,,
MLP,4,PT4,cell_fold,accuracy,0.999390243902439,,,
MLP,4,PT4,cell_fold,precision,0.0,,,
MLP,4,PT4,cell_fold,recall,0.0,,,
MLP,4,PT4,cell_fold,specificity,0.999390243902439,,,
MLP,4,PT4,cell_fold,f1,0.0,,,
MLP,4,PT4,cell_fold,brier,0.0005050578270197,,,
