sensitivity_analysis,model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
gene_only_baseline,Transformer,pooled,all,sample_pooled,brier,3.515101162293371e-05,4.0,2.268335675259593e-06,9.212358582187484e-05
gene_only_baseline,Transformer,pooled,all,sample_pooled,log_loss,0.0044728488285872,4.0,0.0012934523436758,0.0092455044360477
tcr_only_baseline,Transformer,1,PT1,cell_fold,roc_auc,,,,
tcr_only_baseline,Transformer,1,PT1,cell_fold,accuracy,0.0,,,
tcr_only_baseline,Transformer,1,PT1,cell_fold,precision,0.0,,,
tcr_only_baseline,Transformer,1,PT1,cell_fold,recall,0.0,,,
tcr_only_baseline,Transformer,1,PT1,cell_fold,specificity,,,,
tcr_only_baseline,Transformer,1,PT1,cell_fold,f1,0.0,,,
tcr_only_baseline,Transformer,1,PT1,cell_fold,brier,0.477480547073999,,,
tcr_only_baseline,Transformer,1,PT1,cell_fold,log_loss,1.20409116842696,,,
tcr_only_baseline,Transformer,1,PT1,patient_fold,roc_auc,,1.0,,
tcr_only_baseline,Transformer,1,PT1,patient_fold,accuracy,0.0,1.0,,
tcr_only_baseline,Transformer,1,PT1,patient_fold,precision,0.0,1.0,,
tcr_only_baseline,Transformer,1,PT1,patient_fold,recall,0.0,1.0,,
tcr_only_baseline,Transformer,1,PT1,patient_fold,specificity,,1.0,,
tcr_only_baseline,Transformer,1,PT1,patient_fold,f1,0.0,1.0,,
tcr_only_baseline,Transformer,1,PT1,patient_fold,brier,0.4681418592605304,1.0,,
tcr_only_baseline,Transformer,1,PT1,patient_fold,log_loss,1.152674453490471,1.0,,
tcr_only_baseline,Transformer,2,PT2,cell_fold,roc_auc,,,,
tcr_only_baseline,Transformer,2,PT2,cell_fold,accuracy,0.0506706408345752,,,
tcr_only_baseline,Transformer,2,PT2,cell_fold,precision,1.0,,,
tcr_only_baseline,Transformer,2,PT2,cell_fold,recall,0.0506706408345752,,,
tcr_only_baseline,Transformer,2,PT2,cell_fold,specificity,,,,
tcr_only_baseline,Transformer,2,PT2,cell_fold,f1,0.0964539007092198,,,
tcr_only_baseline,Transformer,2,PT2,cell_fold,brier,0.4678377802439628,,,
tcr_only_baseline,Transformer,2,PT2,cell_fold,log_loss,1.1586651334082467,,,
tcr_only_baseline,Transformer,2,PT2,patient_fold,roc_auc,,1.0,,
tcr_only_baseline,Transformer,2,PT2,patient_fold,accuracy,0.0,1.0,,
tcr_only_baseline,Transformer,2,PT2,patient_fold,precision,0.0,1.0,,
tcr_only_baseline,Transformer,2,PT2,patient_fold,recall,0.0,1.0,,
tcr_only_baseline,Transformer,2,PT2,patient_fold,specificity,,1.0,,
tcr_only_baseline,Transformer,2,PT2,patient_fold,f1,0.0,1.0,,
tcr_only_baseline,Transformer,2,PT2,patient_fold,brier,0.4642610021503026,1.0,,
tcr_only_baseline,Transformer,2,PT2,patient_fold,log_loss,1.1437153397172912,1.0,,
tcr_only_baseline,Transformer,3,PT3,cell_fold,roc_auc,,,,
tcr_only_baseline,Transformer,3,PT3,cell_fold,accuracy,0.0,,,
tcr_only_baseline,Transformer,3,PT3,cell_fold,precision,0.0,,,
tcr_only_baseline,Transformer,3,PT3,cell_fold,recall,0.0,,,
tcr_only_baseline,Transformer,3,PT3,cell_fold,specificity,0.0,,,
tcr_only_baseline,Transformer,3,PT3,cell_fold,f1,0.0,,,
tcr_only_baseline,Transformer,3,PT3,cell_fold,brier,0.4286062587957213,,,
tcr_only_baseline,Transformer,3,PT3,cell_fold,log_loss,1.065585436768731,,,
tcr_only_baseline,Transformer,3,PT3,patient_fold,roc_auc,,1.0,,
tcr_only_baseline,Transformer,3,PT3,patient_fold,accuracy,0.0,1.0,,
tcr_only_baseline,Transformer,3,PT3,patient_fold,precision,0.0,1.0,,
tcr_only_baseline,Transformer,3,PT3,patient_fold,recall,0.0,1.0,,
tcr_only_baseline,Transformer,3,PT3,patient_fold,specificity,0.0,1.0,,
tcr_only_baseline,Transformer,3,PT3,patient_fold,f1,0.0,1.0,,
tcr_only_baseline,Transformer,3,PT3,patient_fold,brier,0.4274501673305089,1.0,,
tcr_only_baseline,Transformer,3,PT3,patient_fold,log_loss,1.0607291978839044,1.0,,
tcr_only_baseline,Transformer,4,PT4,cell_fold,roc_auc,,,,
tcr_only_baseline,Transformer,4,PT4,cell_fold,accuracy,0.0,,,
tcr_only_baseline,Transformer,4,PT4,cell_fold,precision,0.0,,,
tcr_only_baseline,Transformer,4,PT4,cell_fold,recall,0.0,,,
tcr_only_baseline,Transformer,4,PT4,cell_fold,specificity,0.0,,,
tcr_only_baseline,Transformer,4,PT4,cell_fold,f1,0.0,,,
tcr_only_baseline,Transformer,4,PT4,cell_fold,brier,0.4576879552656111,,,
tcr_only_baseline,Transformer,4,PT4,cell_fold,log_loss,1.1450043017831053,,,
tcr_only_baseline,Transformer,4,PT4,patient_fold,roc_auc,,1.0,,
tcr_only_baseline,Transformer,4,PT4,patient_fold,accuracy,0.0,1.0,,
tcr_only_baseline,Transformer,4,PT4,patient_fold,precision,0.0,1.0,,
tcr_only_baseline,Transformer,4,PT4,patient_fold,recall,0.0,1.0,,
tcr_only_baseline,Transformer,4,PT4,patient_fold,specificity,0.0,1.0,,
tcr_only_baseline,Transformer,4,PT4,patient_fold,f1,0.0,1.0,,
tcr_only_baseline,Transformer,4,PT4,patient_fold,brier,0.4509468683511706,1.0,,
tcr_only_baseline,Transformer,4,PT4,patient_fold,log_loss,1.1132969110654196,1.0,,
tcr_only_baseline,Transformer,pooled,all,cell_pooled,roc_auc,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,cell_pooled,accuracy,0.011180815541839523,4.0,0.0,0.03626220362622036
tcr_only_baseline,Transformer,pooled,all,cell_pooled,precision,0.019802867383512546,4.0,0.0,1.0
tcr_only_baseline,Transformer,pooled,all,cell_pooled,recall,0.025036818851251842,4.0,0.0,0.05067064083457526
tcr_only_baseline,Transformer,pooled,all,cell_pooled,specificity,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,cell_pooled,f1,0.02211437434332316,4.0,0.0,0.06998654104979811
tcr_only_baseline,Transformer,pooled,all,cell_pooled,brier,0.4567498017387005,4.0,0.4371794617987385,0.47271596953458994
tcr_only_baseline,Transformer,pooled,all,cell_pooled,log_loss,1.140478106553376,4.0,1.086950392711144,1.1863680331466269
tcr_only_baseline,Transformer,pooled,all,patient_pooled,roc_auc,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,patient_pooled,accuracy,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,patient_pooled,precision,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,patient_pooled,recall,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,patient_pooled,specificity,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,patient_pooled,f1,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,patient_pooled,brier,0.45269996622955655,4.0,0.4366528467753687,0.4662014381460234
tcr_only_baseline,Transformer,pooled,all,patient_pooled,log_loss,1.1176039580791248,4.0,1.081475669089004,1.148194913732096
tcr_only_baseline,Transformer,pooled,all,sample_pooled,roc_auc,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,sample_pooled,accuracy,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,sample_pooled,precision,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,sample_pooled,recall,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,sample_pooled,specificity,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,sample_pooled,f1,0.0,4.0,0.0,0.0
tcr_only_baseline,Transformer,pooled,all,sample_pooled,brier,0.45269996622955655,4.0,0.4366528467753687,0.4662014381460234
tcr_only_baseline,Transformer,pooled,all,sample_pooled,log_loss,1.1176039580791248,4.0,1.081475669089004,1.148194913732096
combined_exclude_recurrence,Transformer,1,PT1,cell_fold,roc_auc,,,,
combined_exclude_recurrence,Transformer,1,PT1,cell_fold,accuracy,0.9793333333333332,,,
combined_exclude_recurrence,Transformer,1,PT1,cell_fold,precision,1.0,,,
combined_exclude_recurrence,Transformer,1,PT1,cell_fold,recall,0.9793333333333332,,,
combined_exclude_recurrence,Transformer,1,PT1,cell_fold,specificity,,,,
combined_exclude_recurrence,Transformer,1,PT1,cell_fold,f1,0.9895587739979792,,,
combined_exclude_recurrence,Transformer,1,PT1,cell_fold,brier,0.016441649136556,,,
combined_exclude_recurrence,Transformer,1,PT1,cell_fold,log_loss,0.063114136405229,,,
combined_exclude_recurrence,Transformer,1,PT1,patient_fold,roc_auc,,1.0,,
combined_exclude_recurrence,Transformer,1,PT1,patient_fold,accuracy,1.0,1.0,,
combined_exclude_recurrence,Transformer,1,PT1,patient_fold,precision,1.0,1.0,,
combined_exclude_recurrence,Transformer,1,PT1,patient_fold,recall,1.0,1.0,,
combined_exclude_recurrence,Transformer,1,PT1,patient_fold,specificity,,1.0,,
combined_exclude_recurrence,Transformer,1,PT1,patient_fold,f1,1.0,1.0,,
combined_exclude_recurrence,Transformer,1,PT1,patient_fold,brier,0.0005417541970587,1.0,,
combined_exclude_recurrence,Transformer,1,PT1,patient_fold,log_loss,0.0235507688715152,1.0,,
combined_exclude_recurrence,Transformer,2,PT2,cell_fold,roc_auc,,,,
combined_exclude_recurrence,Transformer,2,PT2,cell_fold,accuracy,0.9959604641168888,,,
combined_exclude_recurrence,Transformer,2,PT2,cell_fold,precision,1.0,,,
combined_exclude_recurrence,Transformer,2,PT2,cell_fold,recall,0.9959604641168888,,,
combined_exclude_recurrence,Transformer,2,PT2,cell_fold,specificity,,,,
combined_exclude_recurrence,Transformer,2,PT2,cell_fold,f1,0.9979761443396632,,,
combined_exclude_recurrence,Transformer,2,PT2,cell_fold,brier,0.0034068365848831,,,
combined_exclude_recurrence,Transformer,2,PT2,cell_fold,log_loss,0.0148209540585598,,,
combined_exclude_recurrence,Transformer,2,PT2,patient_fold,roc_auc,,1.0,,
combined_exclude_recurrence,Transformer,2,PT2,patient_fold,accuracy,1.0,1.0,,
combined_exclude_recurrence,Transformer,2,PT2,patient_fold,precision,1.0,1.0,,
combined_exclude_recurrence,Transformer,2,PT2,patient_fold,recall,1.0,1.0,,
combined_exclude_recurrence,Transformer,2,PT2,patient_fold,specificity,,1.0,,
combined_exclude_recurrence,Transformer,2,PT2,patient_fold,f1,1.0,1.0,,
combined_exclude_recurrence,Transformer,2,PT2,patient_fold,brier,2.286259501715904e-05,1.0,,
combined_exclude_recurrence,Transformer,2,PT2,patient_fold,log_loss,0.0047929524716155,1.0,,
combined_exclude_recurrence,Transformer,3,PT3,cell_fold,roc_auc,,,,
combined_exclude_recurrence,Transformer,3,PT3,cell_fold,accuracy,0.9893045417680454,,,
combined_exclude_recurrence,Transformer,3,PT3,cell_fold,precision,0.0,,,
combined_exclude_recurrence,Transformer,3,PT3,cell_fold,recall,0.0,,,
combined_exclude_recurrence,Transformer,3,PT3,cell_fold,specificity,0.9893045417680454,,,
combined_exclude_recurrence,Transformer,3,PT3,cell_fold,f1,0.0,,,
combined_exclude_recurrence,Transformer,3,PT3,cell_fold,brier,0.0094619974267573,,,
